@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute Linearity numeric
@attribute 'Close to Cam' numeric
@attribute 'Close to Other Face' numeric
@attribute Smile {0,1,2}

@data
534,'2017/02/11 13:48:01:753',8,0.000049,66.075027,112.913177,293.629211,0,63.993954,138.145157,343.600098,296.170532,0.000009,63.809063,138.050781,569.357605,297.077332,1,?,?,?
535,'2017/02/11 13:48:01:867',8,0.000053,65.900246,113.374069,294.222412,0,65.089859,135.936905,343.194489,296.551208,0.000014,63.503963,138.367004,570.310364,296.87616,1,?,?,?
536,'2017/02/11 13:48:02:052',8,0.000036,66.793526,112.310974,294.033844,0,65.346016,136.921387,342.759277,296.785583,0.000019,62.879608,136.732819,568.989929,296.653687,1,?,?,?
537,'2017/02/11 13:48:02:166',8,0.000018,67.603577,111.939392,294.076721,0,65.737617,137.817963,343.204285,296.845276,0.000015,63.373558,136.798462,569.506836,296.917114,1,?,?,?
538,'2017/02/11 13:48:02:334',8,0.000019,67.10733,112.180222,294.323578,0,65.48391,139.338928,344.336212,297.432404,0.000007,64.105217,137.236816,569.909302,296.131836,1,?,?,?
539,'2017/02/11 13:48:02:509',8,0.000012,67.806801,112.099632,293.922729,0,65.38588,138.861511,343.950806,296.651184,0.000002,63.969208,137.107056,569.125977,296.202332,1,?,?,?
540,'2017/02/11 13:48:02:624',8,0.000016,67.552917,112.652405,293.784393,0,64.686363,137.848923,343.074036,296.570557,0.000002,63.718502,138.299652,569.345459,296.441071,1,?,?,?
541,'2017/02/11 13:48:02:813',8,0.000029,66.979919,112.2939,294.203552,0,65.18441,136.971649,343.177368,296.900879,0.000001,64.672722,138.218475,570.074524,296.514648,1,?,?,?
542,'2017/02/11 13:48:02:921',8,0.000038,67.137238,112.775558,293.826599,0,64.994652,136.525513,343.663513,297.536163,0.000001,64.36132,136.368805,568.970642,296.227356,1,?,?,?
543,'2017/02/11 13:48:03:105',8,0.000058,66.839333,112.554398,294.20401,0,65.252739,137.999069,343.424927,296.502808,0.000002,63.749485,137.605743,568.463989,296.485291,1,?,?,?
